保护自身信息提高警觉性
就让我搂着你踏上爱情的征程
对你的每个眼神都必须要超级认真
就让我抱着你 在每一天的晚上
和你吃了太多从不怕长胖
我要我们在一起 以后的事再从长计议
这是属于我们的
就在爱你的365天
马上又是属于你我的新一年
想要把你搂在我的怀里过好每一天
这是属于我们的365天
就在爱你的365天
马上又是属于你我的新一年
想要把你搂在我的怀里过好每一天
这是属于我们的365天
昨夜梦回最初 那是初遇你的时候
人山人海偏偏你就闯入我的眼眸
开始疯狂的追求她们都说我不矜持
追在你身后喊你名字就这么日复一日
我怕你忘记了我 想方设法向你靠近
你终于开口对我说话 缩短我们的距离
那个时候很开心 好似只剩一厘米
光明正大的缠你 虽是以朋友的名义
后来你我之间 终于不再那么疏远
你的每次邀请我从来都不拒绝
好不容易才靠近你 想再多看你一眼
好不容易能听你声音 求求时间再慢点
送饮料的时候 偷拍你打球的样子
潜入教室在你书桌偷偷写下我的名字
想起你会傻笑 朋友说我像个傻帽
你是如此完美 说不出哪点不好
或许难过的原因是你把我当做透明
或许你出现的那刻起我早就情不自禁
为什么 会这样 我总是在问自己
24个小时每分每刻想的全都是你
她们说 单相思是个心酸的过程
我想说的没错 你的每次拒绝都是那么心狠
狠到我心痛 狠到我退后
狠到我想放弃不想继续对你再做无用功
我总是安慰自己 是你还不懂我的心
总有一天你会发现我想要的不是朋友关系
我总是安慰自己 你不是在逃避
想让你明白你想要的我全都会给你
直到有一天 你动态更新了牵手的照片
是你和一个女孩 底下评论“真般配”
想起你紧张追问我 逗女孩的秘诀
而我当时傻傻以为是你喜欢我的表现
想起你问我 你的性格是否让人讨厌
若有所思的样子 我偷偷踮起了脚尖
你变得不再高冷 我以为我是功臣
学会了关心人 而我错当对我情愫生
或许难过的原因是你把我当做透明
或许你出现的那刻起我早就情不自禁
为什么 会这样 我总是问我自己
24个小时每分每刻想的全都是你
她们说 单相思是个心酸的过程
我想说的没错 你的每次拒绝都是那么心狠
狠到我心痛 狠到我退后
狠到我想放弃不想继续对你再做无用功
我以为只要坚持不懈你一定会感动
我以为我的每次暗示你一定都能懂
我以为我是对的 我以为你是我的
以为你口中的她 从来都没存在过
我还是放不下你 做不到不去想你
或许有天能入你心 心中还存一丝侥幸
想起还是会很痛 你像包袱一样沉重
在你身上栽了跟头 告诉我这全都是梦
从开始到现在 原来我在演独角戏
而你怎么忍心 让我输得这么彻底
一败涂地 或许我该救赎的是自己
you are my redemption 而我一直这么定义
所以 so no i can not cry
记得你说 不喜欢 懦弱的女孩
我可以 I believe 相信一切都会过去
可是 可是对不起 我真的好喜欢你
或许难过的原因是你把我当做透明
或许你出现的那刻起我早就情不自禁
为什么 会这样 我总是在问自己
24个小时每分每刻想的全都是你
又到了一个人对着麦克风说说话
把歌词写在墙上就是为了遇到她
夜晚就让我来写歌不用太害怕
听说隔壁Cindy为谁剪了长头发
在夜里翻来覆去睡不着还在想他
情感的规则充满算计有点太复杂
医生说我得了怪病叫做太颓废
我说抱歉你的诊断让我有点醉
请给我换个医生我要点名Dr. dre
我觉得时间每分每秒都是很宝贵
前台的小妹突然想我和来搞点暧昧
身边的朋友今天过的好像很开心
他们说的笑话我却没有认真听
我只要微微一笑就能显得很合群
卖力的表演让你根本挑不出毛病
这游戏规则太简单不需要说明
只要每天起床带上面具就能赢
哦对了差点忘了介绍我的名
现在凌晨两点半我觉得有点累
LA的夜晚太美让我不想去浪费
我想了好久这首歌不知该唱给谁
我坐在屋顶对着远方说声I’m Okay
手机里没有一条短信我也无所谓
朋友们笑我活的太傻太笨太卑微
我也不管他们说的到底对不对
反正我晚上从来都是习惯一个人睡
这么多年风吹雨打都是自己面对
只是偶尔想起你的时候还是会
那天你拉着我的双手眼角含着泪
说这样的生活太累看不到结尾
我说不用害怕天黑我不会后退
我看到你的朋友换了一位又一位
错过的生活让你没有一点点的防备
是否为了一个人流泪到心碎
废话说了太多你有没有觉得疲惫
我也不需要再解释I’m the one to blame
这其中酸甜苦辣就让我来慢慢体会
却没有你的消息
听不见你的声音
我在想你
每天都在想你
把情绪抓在手心
在夜里翻来覆去
你在哪里
这问题太过烧脑好吧我认输
baby girl你得弄清爱你的程度
不是简单几句歌词就能够描述
过了一千个想你的凌晨四点
把描绘你的词语全部都记在字典
这角色空缺没人能够替代你出演
给你的誓词牢固到不用质检
如果你不再需要我 对或错
很多事情过程美好不必看结果
不是饶舌歌手也能给你唱情歌
从上海开到奥克兰在你心上停车
你是什么味道加了什么配料
尝起来芒果汽水却能让我醉掉
每次我见到你都像是坐在被告
我带你登上末日航班你可别退票
却没有你的消息
听不到你的声音
你在哪里
每天都在想你
把情绪抓在手心
每天翻来覆去
你在哪里
下一秒 思念却 全部围绕
其实你我心里都很明了
幻想和现实相对比确实太过渺小
我变得越来越不能控制自己
但幸好有你能治好的我抑郁
也希望能在现实世界被你抱紧
不用在每个清晨突然被闹钟叫醒
有时候也会觉得一个人是难熬
但你说不合格的感情就像坐牢
不敢抓你太紧 只是默默跟着你的背影
是害怕你会逃
我还是不敢主动拨通你的号码
想知道后来你的航班停靠在哪
但现在你也有了新的男友新的纹身
只有留给我的玩偶还在祝我梦想成真
却没有你的消息
听不到你的声音
你在哪里
每天都在想你
把情绪抓在手心
每天翻来覆去
你在哪里
每天都想你
每天都想你
每天都想你
每天都想你
oh白天黑夜 oh每日每月 都在想你
每次想要环抱你却没法开口
辗转反侧的样子你走了之后
在下着雨的夜 我放开你的手
之后的每次想到你都偷偷
说过和你断了联系不再连线
可是心里还有止不住的执念
可能也不是还爱着你
只是对这段感情的惋惜
不想我的身上还残留你任何气息
不想聚会朋友都在问我你最近的消息
不想和你再有关联不再为你叹息
删掉你的聊天记录和过去的回忆
分开的场景见怪不怪
结局一句离开其实早已不意外
----南屋Clean babe----
哪有那么一定管你什么心情
恋爱就是疾病打扰我的旅行
喜忧参半 错的就只能斩断
某个后半晚 我偶尔也会辗转
受够了和你互相折磨
像嚼烂的口香糖
收获了一场意外车祸反正也没有伤亡
那就走吧 就走吧 像剪断了的头发
像梭哈了筹码 却没有高超手法
怎么可能再赢回来 心你也进不来
分开后每一首情歌我们都听不来
再一次踏上旅途带着些许的企图
不再让心情起伏 不再亮出了心我们同时转身离开 有一次再放逐的心 oh baby
分开的场景见怪不怪
结局一句离开其实早已不意外
不再hustle money 不再看你心情
我想干嘛就干嘛 不用得到你肯定
没有什么该不该 不好耍就去九街
那里的妹妹多得很都排队等到我来
像霓虹 像阵风 像重庆的天空
雾都雾太大了根本找不到我行踪
当个飞行员日吗是为了忘了你的美
分开的场景见怪不怪
结局一句离开其实早已不意外
我和我的兄弟在江南西
没日没夜做歌都在江南西
贫困潦倒生存江南西
绝地反击都在江南西
我和我的兄弟都在江南西
没日没夜做歌都在江南西
贫困潦倒生存江南西
绝地反击都在江南西
Shout to the 广州 from my city
这个地方充满了我的经历
离开为了赚更多的金币
要壮大我的hood 擦亮我的兵器
还记得那年穷得和兄弟吃菠萝包的日子
在江南西日夜颠倒却没收入的日子
在酒吧当party boom每天一百五的工资
最后收到的却是房东叫我搬出去的通知
Oh 这些不是我想要的
想改变一切只要我的那颗心还跳着
在我的世界 我的字典 没有什么不可以
时机成熟再和我的兄弟一起再合体
看谁会笑到最后 自己才是最大的对手
说过永远不会退后 那是为了满足我黑洞般的胃口
我和我的兄弟在江南西
没日没夜做歌都在江南西
贫困潦倒生存江南西
绝地反击都在江南西
我和我的兄弟在江南西
没日没夜做歌都在江南西
贫困潦倒生存江南西
绝地反击都在江南西
离开广州飞黄腾达 圈子都变得更加诚实
曾经说过我是司机你是乘客
赚钱速度已经变成乘法
對的 對的 从职员变成老板 只会更大 我的团队不會倒闭
在江南西养成 So I hustle hard 快餐 菠蘿包 烟加上筆
这几样东西 构成我的日常生活
贫穷要我向上所以没办法不变强
I am big boss 對hater说声sorry
变得富有不但指头脑还有歌词
2017走起來沒人可以阻止
賺更多為了我的Hood我的homie
我和我的兄弟在江南西
没日没夜做歌都在江南西
贫困潦倒生存江南西
绝地反击都在江南西
我和我的兄弟在江南西
没日没夜做歌都在江南西
贫困潦倒生存江南西
绝地反击都在江南西
我和我的兄弟在江南西
没日没夜做歌都在江南西
贫困潦倒生存江南西
绝地反击都在江南西
我和我的兄弟在江南西
没日没夜做歌都在江南西
贫困潦倒生存江南西
绝地反击都在江南西
你不再是我的baby
怪我当时没什么能够给你
删掉了关于你所有回忆
一个人的夜里难以睡去
你不再是我的baby
如今想要什么我都可以给你
但再也找不到你的消息
尽管如此我也不忍责备你
怎么忍心责怪你 即使你犯了错
我也肯定很爱你 谁都有犯过错
不想把你管的太紧 我知道你也渴望自由
但是我没想到你会越飞越远从来没有想过为我滞留
也曾质问过自己 为什么你要走
是我对你不够好还是没达到你要求
但答案我没有找到 却学会了借酒消愁
怪自己当时太穷 恨自己给不了你高楼
可是我从来没有想过 有一天我们两个
会像现在一样变成陌生人连话都再没讲过
你像颗流星一样划过我的夜空之后慢慢陨落
我知道你的离开是因为我当时经济窘迫
两条不相交的平行线 不可能再有交错
分开的冬天我伫立在寒风中萧瑟
画面在褪色伴随着雪花在空中飘落
和你连接的信号也逐渐被削弱
你不再是我的baby
怪我当时没什么能够给你
删掉了关于你所有回忆
一个人的夜里难以睡去
你不再是我的baby
如今想要什么我都可以给你
但再也找不到你的消息
尽管如此我也不忍责备你
我曾经想过到底是什么让你远走
我不明白为什么没人愿意伸出援手
我猜不透你的心思 永远闹不够
天使和恶魔都对你还是没有用
我想逃离这个世界 答案都太过敷衍
连我自己都不明白到底谁才对我了解
我不怪你犯错 通话的声音渐弱
可我再也不想为你书写新的段落
你不再是我的baby
怪我当时没什么能够给你
删掉了关于你所有回忆
一个人的夜里难以睡去
你不再是我的baby
如今想要什么我都可以给你
但再也找不到你的消息
尽管如此我也不忍责备你
外面天气太冷 就让我做你外套
再带杯温的可可 放心不会发胖
我想要陪你走过每一寸的冬天 为你身体升温然后冻结时间
抱歉不是都敏俊兮 很普通没有魔力
不能为你静止时间 搞定所有难题
但老子足够长情 能为你终身不娶
如果法律允许 就和你一起窒息
想把你藏进我外套里 用话语温暖这空气
不需要太多时间怀疑 陪伴你度过这冬季
靠在你的肩膀唏嘘 还好我遇见你
关上灯把爱留下烙印 这房间只有我和你
穿的不要太少 要带毛绒手套
喜欢看你赖床 一起刷牙洗澡
穿着你的紫色t恤陪你过早
你说想吃辣的ok哪怕我喉咙发痒
和你在一起的时候总是特别不成熟
像个孩子一样想要躲进你胸脯
你表情那么认真 用体温把我驯服 做你一个人的暖炉
想把你藏进我外套里 用话语温暖这空气
不需要太多时间怀疑 陪伴你度过这冬季
靠在你的肩膀唏嘘 还好我遇见你
关上灯把爱留下烙印 这房间只有我和你
我起手98k 倍镜配8倍
杀气的眼神你看不到 我藏进三级盔
让子弹飞飞 把你屏幕黑 灭掉每一位  扬起我的嘴
我们的火力赶超轰炸区
Don’t hate me 每一战所向披靡
百团大战只有我们屹立
杀光所有敌人今晚哥们吃鸡
几百次的飞行体验只要98
落地成佛 赤手空拳 爆头给击杀
一血拿 无论你是哪路咖
来自东京还是California 必须听清我的话
从来不会放过每一个空投
因为我的bro 全部掩护在身后
清除 藏在角落 苟延残喘 的污垢
我要打十个 货运码头等着你上钩
P R S Y G V每个城里全都布满我的危机
我们开着jeep 一路晃 一路荡 数浪花 溅起一朵朵 在快艇上
我们上演头文字D 从来不避让 累了休息 在谷堆旁 赢得有模又有样
吃鸡 吃鸡 吃鸡 吃鸡 吃鸡 everyday
吃鸡 吃鸡 吃鸡 吃鸡 吃鸡 everyday
吃鸡 everyday  吃鸡 everyday
吃鸡 everyday 不会觉得累
吃鸡 everyday 吃鸡 everyday
大吉大利 晚上吃鸡 准备好起飞
oh i’m feeling good 不带狗的不带守株待兔
who 怕 who 全都hold的住 根本不会输
管它这个圈子多毒 绷住
你送货的速度比顺丰还要惊人
倘若你是姑娘好想送你一个吻
我的 枪法 要的就是 稳准狠
你 走个神 会 丢了魂
我好卑鄙  我的lady  我在这里
我好卑鄙  我的baby  call me dad
GUN GUN GUN  装置顶配 LANG LANG LANG
单发点射 BANG BANG 惊慌 RUN RUN 百米以外 DOWN DOWN DOWN
现在就想问问 还有谁
背后开暗枪魂魄 早已飞
吃鸡 everyday  吃鸡 everyday
吃鸡 everyday 不会觉得累
吃鸡 everyday 吃鸡 everyday-
大吉大利 晚上吃鸡 准备好起飞
吃鸡 吃鸡 吃鸡 吃鸡 吃鸡 everyday
吃鸡 吃鸡 吃鸡 吃鸡 吃鸡 everyday
吃鸡 everyday  吃鸡 everyday
吃鸡 everyday 不会觉得累
吃鸡 everyday 吃鸡 everyday
大吉大利 晚上吃鸡 准备好起飞
那就张开你的手让我带你飞向太空
你眼睛变得朦胧让我分不清在梦中
一切如果是缘分那就陪我走到最后
当她是我的爱人 是我的爱人
那就张开你的手让我带你飞向太空
你眼睛变得朦胧让我分不清在梦中
一切如果是缘分那就陪我走到最后
当她是我的爱人 是我的爱人
那就张开你的手让我带你飞向太空
你眼睛变得朦胧让我分不清在梦中
一切如果是缘分那就陪我走到最后
当她是我的爱人 是我的爱人
两个陌生人的碰撞
两个灵魂不同思想
彼此试探与猜疑
经历苦难在一起
打包的行李箱
那人还在远方
与你分担一切
你懂我意思吗
当他换了棒球衣
变得西装又革履
不再沉迷了游戏
工作时的专注力
放下麦克风
为你向前冲
一夜 因你长大把
责任铭记心中
他强大后盾都来自你
这一切没人能够再比
你会带我飞的更高
是对未来的承诺
不仅要梦也抓住面包
想好就放手去做
没有生死离别的爱恋
只是柴米油盐的怠倦
谁的爱都会过保鲜期
可同初恋看见你
我要到飞哪里去 你在哪我在哪里
我要干嘛谁告诉我 你要爱他和你
我叫什么名字 你叫爱人
我的来历来自哪里
来自我心里
那就张开你的手让我带你飞向太空
你眼睛变得朦胧让我分不清在梦中
一切如果是缘分那就陪我走到最后
当她是我的爱人 是我的爱人
那就张开你的手让我带你飞向太空
你眼睛变得朦胧让我分不清在梦中
一切如果是缘分那就陪我走到最后
当她是我的爱人 是我的爱人
对 我好像遇见过那个人
忘了他的模样
只记得特殊的灵魂
那时他很倔强
他有个深爱的人
时刻都把她的照片放在钱包里
想念就拿出来看看
总浮现那肉肉的小脸蛋
和他撒娇 老公我今天不想做饭
他夸她美如画 是他掌心的一朵花
要给她一个家 也要用心来呵护她
和她一起奔跑 揣着这股狠劲
不会摔倒彼此搀扶 未到终点不停
对 当有了力量就是那么较劲
你就是我信念在此为你效命
那就张开你的手让我带你飞向太空
是爱人 是爱人
想要看雪景 就一路向北
要去海边 掉个头就 ok
带上你的 bikini 跟你的闺蜜
我会带上我的 swaggie and my bro
跟我走 lil badie
跟的紧一点 我们去搞事情 don't tell nobody
U gotta do some thing 趁你还年轻
开心就一起 bounces
不开心就大声叫
不要消极 我们只要激情
拿出相机 wait a minute click click
快来拍拍拍
摆好你最美丽的姿态
我比阳光更喜欢你的 Smile and 你的 Style
快来拍拍拍
感受每一个瞬间的精彩
不想只在你朋友圈
All my 中国宝贝想跟我拍照的 come all right
无论你想喝什么 随便点吧 我买
花钱大手大脚 叫我摇钱树
镜头里面除了美女还有 me and my crew
相册里面装了多少不可告人的秘密
我是 best best best best rapper
Falling in love with me 只花一杯酒的时间
Maserati in the lot 带你去我 private party
为何穿的这么辣 还有 super model body
这种天堂般的 lifestyle 我根本不用飞
打扰我心情的话我从不听
你们接著拍 接著拍
快来拍拍拍
摆好你最美丽的姿态
我比阳光更喜欢你的 Smile and 你的 Style
快来拍拍拍
感受每一个瞬间的精彩
不想只在你朋友圈
好天气不负期待
我们又是一身纯白
工作都抛到脑后 okay okay
如果感到热 take it off take it off
如果你爱我你就说你就说 Babe
给你一支爽口的歌
涂满你内心银河
他们说这不是演出这是个 Party
没错我看你们的眼睛散发出 You want me
Shawty 屁股装了马达
一旁的 Boy 乐得像是发了达
Em 别又爱我又爱他
快来拍拍拍
摆好你最美丽的姿态
我比阳光更喜欢你的 Smile and 你的 Style
快来拍拍拍
感受每一个瞬间的精彩
不想只在你朋友圈
快来拍拍拍
摆好你最美丽的姿态
这股新的浪潮 let me take a picture
快来拍拍拍
感受每一个瞬间的精彩
不只是 Follow me lady
共享美梦 let's get faded
快来拍拍拍
透过塑料瓶看清你温柔的眼眸
加不加冰块的可乐只等着你点头
记录你的笑容钻进我的摄像头
透过塑料瓶看清你温柔的眼眸
加不加冰块的可乐只等着你点头
记录你的笑容钻进我的摄像头
再多言语也无法形容你的美
美好的一天冰块加上气泡水
能够了解每次触摸时细胞发晕
戒不掉你的瘾就像喝可乐加冰
我尝遍了所有的味道 为你忙着 跟本不能睡觉
为你缔造属于你的口味 但这过程 有差也会有对
我也可以为你做任何事的改变 包括戒掉play game
再一次刺激你的味蕾 oh穿上比基尼我的sexy only baby
我已经伤痕累累 让我都想入非非 夏天想霸占你的美那肯定也没有谁
你就像夏天时凉爽的冰可乐
在对的时间里那个对的角色
oh cacacola 就跟我走吧
舒服的夏天有可乐有你也会有家
aye可乐会代表我的真心
yep你能够听见我的声音
对 你肯定没有太多问题
看 那气泡就像你在生气
透过塑料瓶看清你温柔的眼眸
加不加冰块的可乐只等着你点头
记录你的笑容钻进我的摄像头
加不加冰块的可乐只等着你点头
记录你的笑容钻进我的摄像头
cazzy一夜 我要一杯cocacola
加点冰块把我炙热心给融化
让我带她回家躺在我的沙发
加着柠檬片的cocacola让我有点想她
穿着性感比基尼 Fantasy shiny
粉色的橡胶艇 baby my love me
Cocacola气泡冲进了我的胃里
就像二氧化碳让我快要窒息
气泡水刺激麻痹神经
阳光下你迷人的眼睛
就算喝着cocacola我也会喝醉
如果把你比作可乐那么我是易拉罐
你就像咖啡因一样成为了我另一半
cocacola气泡摇晃在瓶中像你一样可爱
就算有一天我不在你身边你都不会习惯
透过塑料瓶看清你温柔的眼眸
加不加冰块的可乐只等着你点头
记录你的笑容钻进我的摄像头
透过塑料瓶看清你温柔的眼眸
加不加冰块的可乐只等着你点头
记录你的笑容钻进我的摄像头
那么完美让人想要立刻把你占有
太多男人将你包围你却向我求救
Ride or die 这不是逢场作戏
没有场景只有我和你
我知道你想要follow me
我会带你冲破银河系
跟我一起穿越冰与火
我不会让你做<钱女友> 只会牵好你的手
就算会输个彻底我 也不会害怕<浪费>太多表情
Ride or die 这不是逢场作戏
没有场景只有我和你
我知道你想要follow me
我会带你冲破银河系
跟我一起穿越冰与火
你还在走过来
被甩开很意外
总是输 躲着哭
看清他的面目
你不在你的爱
会是谁想不开
在原地 在等待
还是说声拜拜
起点站的地铁已经开走
他在站台那头对着我招手
来不及说再见 下次会何时见面
还是那种没有音讯的短暂相恋
你的故事写在情歌里
也许她没把你列在名额里
所以为什么要骗自己骗到底
无理取闹也只是为了见到你
跟自己对话
纠结到想对骂
看起来成熟无比幼稚是我你说对吗
huh全都是废话
我还是过的这么sui
烂摊子堆成堆
hey像跨不过的坎
跟自己作对
想
却适得其反
不想被他们看到
我这么狼狈
你不在的时候
就倒上床睡
我一个人可以很好的
不会像小女生下楼买酒喝
我知道追求感情确实是太奢侈
可遇不可求
像带着信的鸽子
没你带我飞我一直往下坠
孤独的灵魂也只是傀儡
烦心的时候总是说话很难听
你看到我的脆弱
别给我还击
我还想留在这一座有你在的CITY
永远无法代替 让你我的心全都死在这地底
我还想抱紧你每个有你的夜里
有谁能来代笔 让时间来封印所有你的气息
还是走到最后 踏上末班的车
不能再退后 听你最爱的歌
不去回头 我强忍着
泪水在你的眼里打转
其实我也确实看到
和你的故事 我一直在写
爱情方程式 我一直在解
未完待续你要我怎么去收尾
许下的誓言我该怎么去收回
实现不了的情话不想再说了
走不到终点也不必再拖了
我是骗子
离我远点
为什么到失去了才会想着收手
原来你早已下定决心不去挽留
我低头看 指针 十点半
没有我的陪伴 能否习惯
希望你还记得我的话
要按时吃早餐
你送我的娃娃
我会好好的保管
就请你原谅我给不了你想要的生活
就算是个过客也曾在你的世界拼搏
像牢笼无法挣脱 你影子一直出没
明明已放下争夺还想从你眼前经过
如果好的结局没有你那我宁可不要
假如能从头来过 我还是会对你说
有时候会散步在一个人的夜里
有时候想你却又不肯打给你
我想给你播放我最近看的电影
呜呜呜呜呜呜
一间房间一张床铺一个座位
一面镜子贴着贴纸镜面快要破碎
一切静止只有时间在偷偷作祟
心里的冬季我需要一件northface
失去的感情不愿再问错对
麻木了反应我早已习惯坐在
一人的房间 冰冷的床边
任凭怎么做也只能坐幸福的旁边
OH MY G.O.D 忘不了she told me
总有一天我会飞上天空就像波音747
如今醉倒在房门后的我想问问你
是不是没有星的夜你也只剩自己
习惯关上了门 习惯和自己对话
习惯一个人在这水泥盒子里睡下
遗憾分开时忘了说你走了我会怕
遗憾分开的那么多我开始不说话
有时候会散步在一个人的夜里
有时候想你却又不肯打给你
我想给你播放我最近看的电影
跟着我的影子在三点钟的街头
已经很困 可就是不肯走
坐在请你吃寿司打烊的店门口
呜呜呜呜呜呜
有时我像是得了 孤独症正在流行
比空气更透明 每盏深夜的台灯代表这个症候群
是谁冷落了谁 已无所谓
喜剧一个人看也变无味
整晚都只有那烟雾作陪
打开电话不知道和谁说hey
也许是世界太过大同我的却太冷门
也许该大步向前不在原地等人
也许不是孤独是天生的本能
所以她离开了你只留下了吻痕
还是他离开了你 却在衣柜留下风衣
而在club摇摆的你 内心却很空虚
成人世界很空虚 当你 喝醉等空的
才发现 茫茫人海好像没人能懂你
AM三点还睡不着不如让灯光再暗点
烟雾弥漫 还想在沙发上缠绵
我戏份被删 不再玩角色扮演
让我掉落在城市中的荒岛 收不到我发出的求救信号
my baby girl don't make me cold 在心里头 I miss u so
你最近过的还好吗 我故事里的那个她
海南的冬天没有雪 但不影响他在开着花
自从你走后 我回到了那个没有你的家
就是在这个地方 我说我要娶了她
你是我这一辈子 最最难忘的关卡
我抱着吉他 被暴雨淋伤
到你家楼下 四处游荡
做了一个只会歌唱的傻瓜
你才不是一个没人要的女同学
谁会不厌其烦的安慰那无知的少年
我走进了你的世界 别怪我太耀眼
我愿意用十年奋斗 换你一小时的笑脸
你当时特别的可爱 但能不能靠 近点
你不说真心话 你让我怎么为你大冒险
hook 阿涵
曾经的照片还留在那个房间
曾经的一切还印在我心里面
感谢你曾经来过
就算你是个过客
我也无法割舍不得
我说的每句话你都已听不见
回忆的一幕幕不断的在浮现
不后悔曾经爱过
哭过痛过都值得
如果难过也不要忘了我
忘了我
人总要学着孤独试着慢慢去长大
遗憾就遗憾 吧 当你重新回到这
你送我的我都不要了 我希望你也会笑着
走过去前面的路口 以后 我们的故事就到这
干嘛不讲话
我希望你过的更好 我也不会放不下
别继续看着我 你确实应该听你爸
只有看着你的背影 我才能说出心里话
hook 阿涵
曾经的照片还留在那个房间
曾经的一切还印在我心里面
感谢你曾经来过
就算你是个过客
我也无法割舍不得
我说的每句话你都已听不见
回忆的一幕幕不断的在浮现
不后悔曾经爱过
哭过痛过都值得
如果难过也不要忘了我
忘了我
感谢你曾经来过
就算你是个过客
我也无法割舍不得
我说的每句话你都已听不见
回忆的一幕幕不断的在浮现
不后悔曾经爱过
哭过痛过都值得
如果难过也不要忘了我
忘了我
好运来 祝你好运来
好运带来了喜和爱
好运来 我们好运来
迎着好运兴旺发达通四海
好运来 祝你好运来
好运带来了喜和爱
好运来 我们好运来
迎着好运兴旺发达通四海
勒是雾都
勒些啥子不好的事情都少来
看我如何打好手上这副好牌
要穿好衣 要开好车
要搬进大的别墅
三分天定 七分打拼
演好自己的节目
嘿嘿 look at me
我出身平凡没得好命
嘿嘿 不说勒些
再大的困难我自己搞定
这个世界千变万化
就像是座魔方大厦
每天醒来事情太多了
遇到困难千万不要害怕
从来不信命 我只信我自己
生活要开心 打消所有顾虑
从来不信命 我只信我自己
进取又上进 做更优秀的自己
好运来 祝你好运来
好运带来了喜和爱
好运来 我们好运来
迎着好运兴旺发达通四海
好运来 祝你好运来
好运带来了喜和爱
好运来 我们好运来
迎着好运兴旺发达通四海
每天都在忙忙碌碌
为了生活反反复复
黑眼圈也越来越多
为了挣钱他不管不顾
其实没得必要那么的忙
给自己放个假到处去逛
开心从不需要哪个允许
好运锦鲤时刻在你身旁
担心的事情太多 总抱怨收获太少
挖心思一直在摸 睡很晚起的太早
宝剑锋从磨砺出 梅花香自苦寒来
车到山前必有路 有路必有好运来
就是好运 gai 还有好运海
听完这首歌要你好运来
好运 gai 加上好运海
听完这首歌要你好运来
好运 gai 加上好运海
听完这首歌让你好运来
好运 gai 加上好运海
听完这首歌让你好运来
好运来 祝你好运来
好运带来了喜和爱
好运来 我们好运来
迎着好运兴旺发达通四海
好运来 祝你好运来
好运带来了喜和爱
好运来 我们好运来
迎着好运兴旺发达通四海
我眼里都是你
我眼里都是你
我眼里都是你
别跟我讲你不相信
我眼里都是你
我眼里都是你
我眼里都是你
怎么现在你还不相信
地毯 内衣 在早晨起床混为一体
口红 眉笔 你化妆也要我陪你
从我下楼上taxi 把无时无刻当回忆
从不下雨别担心 我自动进化你雨披
从小家人叫我别听天由命
心里想出人头地那就一定靠自己
我一定赚到可以保护你
所以不得不改变进化dobi2.0
oh no oh no 没忍住问你where u go
你轻松识破我的套路 但也愿意被我带走
所有人不忍心骗自己
把情节都想象成电视里
把每一个细节都看仔细
看我的眼睛里面全是你
我眼里都是你
我眼里都是你
我眼里都是你
怎么现在你还不相信
我眼里都是你
我眼里都是你
我眼里都是你
别跟我讲你不相信
为了你 我会get better 有你在是最温暖的weather 朋友猜 我们关系很一般 而我眼神却锁定你整晚
baby we gone all day all night 所有要求都是all right 让你知道什么才叫kingsize 只有我能配得上你绝妙身材
homie怪我总是没空 nono 我时间本来就不多
有一个女孩就足够 从来不需要跟**啰嗦
当你出现在我面前 融化我零下二十度 hood
